Searched,Title,Authors,Published,Type,Include?,Exclusion code,Database,Source
10/02/2018,"Probabilistic Model Checking for Complex Cognitive Tasks -- A case study
  in human-robot interaction",Sebastian Junges,2016-10-28T21:37:14Z,-,,,arXiv,http://arxiv.org/abs/1610.09409v1
10/02/2018,"Human-Machine Inference Networks For Smart Decision Making:
  Opportunities and Challenges",Aditya Vempaty,2018-01-29T17:03:34Z,-,,,arXiv,http://arxiv.org/abs/1801.09626v1
10/02/2018,"Home Is Where the Up-Votes Are: Behavior Changes in Response to Feedback
  in Social Media",Sanmay Das,2014-06-30T13:51:23Z,-,,,arXiv,http://arxiv.org/abs/1406.7738v1
10/02/2018,FreeSense:Indoor Human Identification with WiFi Signals,Tong Xin,2016-08-11T12:05:07Z,-,,,arXiv,http://arxiv.org/abs/1608.03430v1
10/02/2018,"Building the Web of Knowledge with Smart IoT Applications (Extended
  Version)",Amelie Gyrard,2016-06-26T02:30:36Z,-,,,arXiv,http://arxiv.org/abs/1606.07988v1
10/02/2018,GPRS Video Streaming Surveillance System GVSS,T. P. Pushpavathi,2010-02-16T06:38:49Z,-,,,arXiv,http://arxiv.org/abs/1002.3011v1
10/02/2018,Co-adaptation in a Handwriting Recognition System,Sunsern Cheamanunkul,2014-09-09T21:06:14Z,-,,,arXiv,http://arxiv.org/abs/1409.2897v1
10/02/2018,"Beyond the technical challenges for deploying Machine Learning solutions
  in a software company",Ilias Flaounas,2017-08-08T03:59:09Z,-,,,arXiv,http://arxiv.org/abs/1708.02363v1
10/02/2018,"Indoor Location for Smart Environments with Wireless Sensor and Actuator
  Networks",Zhongliang Zhao,2017-05-26T11:56:21Z,-,,,arXiv,http://arxiv.org/abs/1705.09543v1
10/02/2018,"Proceedings of the 8th Workshop on Semantic Ambient Media Experiences
  (SAME 2016): Smart Cities for Better Living with HCI and UX (SEACHI),
  International Series on Information Systems and Management in Creative eMedia
  (CreMedia)",Eunice Sari,2017-07-27T17:40:01Z,-,,,arXiv,http://arxiv.org/abs/1707.08949v2
10/02/2018,A Markovian-based Approach for Daily Living Activities Recognition,Zaineb Liouane,2016-03-10T13:09:57Z,-,,,arXiv,http://arxiv.org/abs/1603.03251v1
10/02/2018,"Robust, Informative Human-in-the-Loop Predictions via Empirical
  Reachable Sets",Katherine Driggs-Campbell,2017-05-02T00:32:13Z,-,,,arXiv,http://arxiv.org/abs/1705.00748v1
10/02/2018,Cognitive Internet of Things: A New Paradigm beyond Connection,Qihui Wu,2014-03-11T08:34:31Z,-,,,arXiv,http://arxiv.org/abs/1403.2498v1
10/02/2018,Intelligent Agent for Prediction in E- Negotiation: An Approach,Mohammad Irfan Bala,2013-11-25T08:35:17Z,-,,,arXiv,http://arxiv.org/abs/1311.6229v1
10/02/2018,Machine Agency in Human-Machine Networks; Impacts and Trust Implications,Vegard Engen,2016-02-26T08:43:28Z,-,,,arXiv,http://arxiv.org/abs/1602.08237v1
10/02/2018,"Improving Computer Assisted Speech Therapy Through Speech Based Emotion
  Recognition",Ovidiu Schipor,2014-05-30T08:29:29Z,-,,,arXiv,http://arxiv.org/abs/1405.7796v1
10/02/2018,HoME: a Household Multimodal Environment,Simon Brodeur,2017-11-29T18:45:59Z,-,,,arXiv,http://arxiv.org/abs/1711.11017v1
10/02/2018,"An ROS-based Shared Communication Middleware for Plug & Play Modular
  Intelligent Design of Smart Systems",Tathagata Chakraborti,2017-06-04T19:23:10Z,-,,,arXiv,http://arxiv.org/abs/1706.01133v1
10/02/2018,Real-time Load Prediction with High Velocity Smart Home Data Stream,Christoph Doblander,2017-08-12T12:47:31Z,-,,,arXiv,http://arxiv.org/abs/1708.04613v1
10/02/2018,RFID Localisation For Internet Of Things Smart Homes: A Survey,Belal Alsinglawi,2017-02-08T07:40:39Z,-,,,arXiv,http://arxiv.org/abs/1702.02311v1
10/02/2018,"Online Energy Management for a Sustainable Smart Home with an HVAC Load
  and Random Occupancy",Liang Yu,2017-06-09T04:33:12Z,-,,,arXiv,http://arxiv.org/abs/1706.02831v3
10/02/2018,"The Information-theoretic and Algorithmic Approach to Human, Animal and
  Artificial Cognition",Nicolas Gauvrit,2015-01-17T22:55:48Z,-,,,arXiv,http://arxiv.org/abs/1501.04242v5
10/02/2018,"AirDraw: Leveraging Smart Watch Motion Sensors for Mobile Human Computer
  Interactions",Seyed A Sajjadi,2017-05-07T19:58:54Z,-,,,arXiv,http://arxiv.org/abs/1705.02689v1
10/02/2018,"The Insecurity of Home Digital Voice Assistants - Amazon Alexa as a Case
  Study",Xinyu Lei,2017-12-09T01:37:34Z,-,,,arXiv,http://arxiv.org/abs/1712.03327v1
10/02/2018,"Predicting the behavior of interacting humans by fusing data from
  multiple sources",Erik J. Schlicht,2012-06-26T18:44:47Z,-,,,arXiv,http://arxiv.org/abs/1206.6080v1
10/02/2018,"Predicting the behavior of interacting humans by fusing data from
  multiple sources",Erik J. Schlicht,2014-08-09T05:50:20Z,-,,,arXiv,http://arxiv.org/abs/1408.2053v1
10/02/2018,"GOptimaEmbed: A SmartSMS-SQLDatabaseManagementSystem for Low-Cost
  Microcontrollers",N. E. Osegi,2015-03-08T16:46:03Z,-,,,arXiv,http://arxiv.org/abs/1503.02295v2
10/02/2018,"Characterization of a Multi-User Indoor Positioning System Based on Low
  Cost Depth Vision (Kinect) for Monitoring Human Activity in a Smart Home",Loïc Sevrin,2016-02-08T14:14:49Z,-,,,arXiv,http://arxiv.org/abs/1602.02574v1
10/02/2018,Privacy in Information-Rich Intelligent Infrastructure,Cynthia Dwork,2017-06-06T21:16:32Z,-,,,arXiv,http://arxiv.org/abs/1706.01985v1
10/02/2018,Emotions in Pervasive Computing Environments,Nevin Vunka Jungum,2009-12-09T17:32:25Z,-,,,arXiv,http://arxiv.org/abs/0912.1810v1
10/02/2018,Vagueness of Linguistic variable,Supriya Raheja,2010-06-23T15:09:04Z,-,,,arXiv,http://arxiv.org/abs/1006.4551v1
10/02/2018,An architecture for ethical robots,Dieter Vanderelst,2016-09-09T20:20:19Z,-,,,arXiv,http://arxiv.org/abs/1609.02931v1
10/02/2018,"Mechanistic home range models and resource selection analysis: a
  reconciliation and unification",P. R. Moorcroft,2006-12-05T19:25:18Z,-,,,arXiv,http://arxiv.org/abs/q-bio/0612008v1
10/02/2018,Dashbell: A Low-cost Smart Doorbell System for Home Use,Bradley Quadros,2017-06-16T23:26:03Z,-,,,arXiv,http://arxiv.org/abs/1706.09269v1
10/02/2018,"Discovering More Precise Process Models from Event Logs by Filtering Out
  Chaotic Activities",Niek Tax,2017-11-03T18:13:36Z,-,,,arXiv,http://arxiv.org/abs/1711.01287v1
10/02/2018,"Adaptive coordination of working-memory and reinforcement learning in
  non-human primates performing a trial-and-error problem solving task",Guillaume Viejo,2017-11-02T11:53:54Z,-,,,arXiv,http://arxiv.org/abs/1711.00698v1
10/02/2018,"Goal Inference Improves Objective and Perceived Performance in
  Human-Robot Collaboration",Chang Liu,2018-02-06T03:31:23Z,-,,,arXiv,http://arxiv.org/abs/1802.01780v1
10/02/2018,"An Integrated Optimization + Learning Approach to Optimal Dynamic
  Pricing for the Retailer with Multi-type Customers in Smart Grids",Fanlin Meng,2016-12-18T18:44:49Z,-,,,arXiv,http://arxiv.org/abs/1612.05971v2
10/02/2018,"Coupling Top-down and Bottom-up Methods for 3D Human Pose and Shape
  Estimation from Monocular Image Sequences",Atul Kanaujia,2014-10-01T06:19:05Z,-,,,arXiv,http://arxiv.org/abs/1410.0117v2
10/02/2018,"Counter-Factual Reinforcement Learning: How to Model Decision-Makers
  That Anticipate The Future",Ritchie Lee,2012-07-03T22:30:34Z,-,,,arXiv,http://arxiv.org/abs/1207.0852v1
10/02/2018,"Nothing Else Matters: Model-Agnostic Explanations By Identifying
  Prediction Invariance",Marco Tulio Ribeiro,2016-11-17T19:07:00Z,-,,,arXiv,http://arxiv.org/abs/1611.05817v1
10/02/2018,"An Internet of Things Framework for Smart Energy in Buildings: Designs,
  Prototype, and Experiments",Jianli Pan,2016-03-25T20:38:40Z,-,,,arXiv,http://arxiv.org/abs/1603.08025v1
10/02/2018,"Role of Secondary Attributes to Boost the Prediction Accuracy of
  Students Employability Via Data Mining",Pooja Thakar,2017-08-09T09:14:36Z,-,,,arXiv,http://arxiv.org/abs/1708.02940v1
10/02/2018,Ontology Bulding vs Data Harvesting and Cleaning for Smart-city Services,Pierfrancesco Bellini,2015-08-05T14:17:10Z,-,,,arXiv,http://arxiv.org/abs/1508.01083v1
10/02/2018,"Using Feature Models for Distributed Deployment in Extended Smart Home
  Architecture",Amal Tahri,2015-07-29T07:02:16Z,-,,,arXiv,http://arxiv.org/abs/1507.08037v1
10/02/2018,Home Energy Management in Smart Grid,A. Mahmood,2013-11-21T12:46:58Z,-,,,arXiv,http://arxiv.org/abs/1311.5385v1
